Body Part: L-Ank, A: 235, B: 53 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 235, B: 52 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 219, B: 44 
Body Part: L-Ank, A: 213, B: 36 
Body Part: L-Ank, A: 213, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 219, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 36 
Body Part: L-Ank, A: 220, B: 42 
Body Part: L-Ank, A: 220, B: 42 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 219, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
Body Part: L-Ank, A: 220, B: 43 
